Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
M5-IMU-Janice,20.330479621887207,-11.23,10.59,-14.48,0.59,2.14,1.61,Unmarked
M5-IMU-Janice,20.448583364486694,-7.3,5.47,0.28,0.93,-2.49,-2.57,Unmarked
M5-IMU-Janice,20.508631944656372,5.38,14.58,-3.76,0.4,0.1,-3.83,Unmarked
M5-IMU-Janice,20.62862753868103,10.49,19.44,19.46,-0.42,0.65,1.28,Unmarked
M5-IMU-Janice,20.748521327972412,0.11,7.95,-1.95,0.28,4.32,0.22,Unmarked
M5-IMU-Janice,20.809423446655273,-1.08,10.49,-2.6,-0.35,-0.18,0.39,Unmarked
M5-IMU-Janice,20.92984628677368,0.86,9.52,-1.81,-0.25,1.02,0.07,Unmarked
M5-IMU-Janice,21.049243450164795,-0.02,10.23,-1.96,-0.56,1.09,0.2,Unmarked
M5-IMU-Janice,21.108460187911987,1.3,8.82,-5.63,-1.18,0.41,-0.41,Unmarked
M5-IMU-Janice,21.2296245098114,-3.54,8.9,-13.29,0.88,4.33,0.32,Unmarked
M5-IMU-Janice,21.349838733673096,-6.58,9.27,-7.73,1.31,4.33,0.22,Unmarked
M5-IMU-Janice,21.409595727920532,-4.81,9.63,-4.83,1.37,4.33,-1.61,Unmarked
M5-IMU-Janice,21.52902841567993,3.73,19.46,0.96,0.62,4.33,-4.37,Unmarked
M5-IMU-Janice,21.649421453475952,-5.26,10.02,-0.01,0.01,0.51,-1.01,Unmarked
M5-IMU-Janice,21.709506034851074,-2.02,8.65,-2.16,-0.14,1.09,-0.1,Unmarked
M5-IMU-Janice,21.82994246482849,-1.29,9.49,-2.13,0.01,1.71,0.07,Unmarked
M5-IMU-Janice,21.948290824890137,0.48,8.13,1.29,0.42,0.81,-0.83,Unmarked
M5-IMU-Janice,22.009396076202393,-3.57,10.04,-2.45,-0.16,0.85,0.1,Unmarked
M5-IMU-Janice,22.129390001296997,-0.58,9.3,-2.68,0.12,0.74,-0.03,Unmarked
M5-IMU-Janice,22.248167514801025,0.01,9.57,-2.2,0.2,-0.23,0.37,Unmarked
M5-IMU-Janice,22.308613061904907,0.55,9.81,-2.93,0.29,-0.35,0.47,Annotated
M5-IMU-Janice,22.430159330368042,0.5,9.78,-3.6,-0.05,-0.52,0.36,Annotated
M5-IMU-Janice,22.54951024055481,1.36,9.46,-2.4,-0.25,-0.35,-0.18,Annotated
M5-IMU-Janice,22.60887837409973,0.08,9.58,-2.27,-0.23,0.17,-0.23,Annotated
M5-IMU-Janice,22.729140758514404,-0.91,9.28,-3.16,-0.12,-0.15,0.21,Annotated
M5-IMU-Janice,22.850534677505493,1.39,8.95,-1.73,0.04,-0.78,-0.15,Annotated
M5-IMU-Janice,22.908320665359497,0.97,9.55,-1.68,0.23,-0.02,-0.0,Annotated
M5-IMU-Janice,23.028053045272827,1.36,9.91,-2.58,-0.15,0.24,-0.12,Annotated
M5-IMU-Janice,23.148929119110107,-1.26,10.35,-1.71,0.57,-0.42,-0.22,Annotated
M5-IMU-Janice,23.2089364528656,-2.84,8.57,-4.45,-0.04,0.88,0.09,Annotated
M5-IMU-Janice,23.328758716583252,1.14,9.41,-1.79,0.19,0.45,0.03,Annotated
M5-IMU-Janice,23.447769165039062,2.05,9.04,-1.66,0.23,-0.25,0.26,Annotated
M5-IMU-Janice,23.508602619171143,0.7,9.75,-2.87,-0.32,0.25,-0.1,Annotated
M5-IMU-Janice,23.627927541732788,0.57,9.31,-2.34,-0.36,0.2,-0.46,Annotated
M5-IMU-Janice,23.748069524765015,-0.08,9.47,-2.15,-0.09,-0.02,-0.12,Annotated
M5-IMU-Janice,23.808415412902832,0.55,9.52,-1.41,0.0,-0.01,-0.11,Annotated
M5-IMU-Janice,23.929051399230957,-1.12,9.2,-2.55,0.21,0.32,-0.29,Annotated
M5-IMU-Janice,24.047616958618164,-0.91,8.98,-3.61,0.24,0.13,0.28,Annotated
M5-IMU-Janice,24.107171535491943,0.1,9.58,-2.58,0.06,0.21,0.15,Annotated
M5-IMU-Janice,24.228028535842896,0.75,9.44,-2.01,0.01,0.05,0.14,Annotated
M5-IMU-Janice,24.3494074344635,0.11,9.03,-3.1,0.12,0.03,0.14,Annotated
M5-IMU-Janice,24.408236026763916,0.45,9.13,-2.91,0.0,0.17,0.16,Annotated
M5-IMU-Janice,24.52913212776184,0.5,9.66,-3.18,-0.26,0.53,-0.25,Annotated
M5-IMU-Janice,24.649900674819946,-0.71,9.04,-2.73,-0.35,0.56,-0.42,Annotated
M5-IMU-Janice,24.7086443901062,-0.75,9.56,-2.21,-0.31,-0.21,-0.19,Annotated
