Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Label
29.73745513,0.69,9.6,-0.55,0.03,-0.01,0.04,Stand
29.8431921,0.88,9.59,-0.63,0.01,-0.01,0.07,Stand
29.94804001,1.01,9.66,-0.64,-0.01,0,0.03,Stand
30.05317497,0.98,9.65,-0.62,-0.03,-0.01,0.01,Stand
30.1581192,0.88,9.58,-0.58,-0.02,-0.02,-0.02,Stand
30.26285195,0.57,9.47,-0.62,-0.04,-0.01,0.01,Stand
30.36790013,1.01,9.67,-0.52,-0.05,-0.01,0.02,Stand
30.4729929,0.66,9.53,-0.51,-0.05,-0.02,0.01,Stand
30.57799697,0.96,9.65,-0.46,-0.03,-0.02,0.01,Stand
30.68270683,0.81,9.6,-0.52,-0.02,-0.02,-0.03,Stand
30.787925,0.75,9.58,-0.44,-0.04,-0.02,-0.01,Stand
30.89306307,0.7,9.59,-0.53,-0.03,-0.02,0.01,Stand
30.99762297,0.84,9.62,-0.43,-0.03,-0.03,0,Stand
31.10311699,0.78,9.61,-0.42,-0.03,-0.02,0.02,Stand
31.20766592,0.71,9.62,-0.45,-0.01,-0.02,0.01,Stand
31.31202888,0.91,9.63,-0.4,-0.02,-0.02,0.03,Stand
31.41763496,0.75,9.6,-0.43,0,-0.03,0,Stand
31.52333593,0.77,9.61,-0.52,-0.01,-0.02,0.01,Stand
31.62766099,0.76,9.57,-0.46,-0.03,0,0.02,Stand
31.73339105,0.91,9.63,-0.41,-0.02,-0.01,0,Stand
31.83701611,0.76,9.59,-0.47,-0.03,0,0,Stand
31.94254994,0.78,9.62,-0.48,-0.04,-0.02,0.02,Stand
32.04779601,0.9,9.6,-0.39,-0.06,-0.01,0.01,Stand
32.15360093,0.84,9.6,-0.35,-0.05,-0.02,-0.01,Stand
32.25758314,0.77,9.64,-0.37,-0.04,-0.04,-0.03,Stand
32.36299109,0.68,9.59,-0.3,-0.01,-0.06,0,Stand
32.46825218,0.77,9.58,-0.29,0.01,-0.05,0.01,Stand
32.5726099,0.78,9.55,-0.33,-0.01,-0.03,0.06,Stand
32.67769122,0.96,9.63,-0.34,-0.02,-0.01,0.04,Stand
32.78290415,0.84,9.64,-0.39,-0.02,-0.01,0.03,Stand
32.8876369,0.75,9.52,-0.33,-0.01,-0.02,0.01,Stand
32.99306703,0.89,9.58,-0.36,-0.01,-0.03,0.01,Stand
33.09875512,0.88,9.62,-0.4,-0.02,-0.03,0.01,Stand
33.20265222,0.88,9.6,-0.35,-0.01,-0.02,0,Stand
33.30806184,0.83,9.6,-0.36,-0.01,-0.03,0,Stand
33.41331983,0.88,9.59,-0.36,-0.01,-0.02,0.01,Stand
33.51841402,0.87,9.64,-0.43,0,-0.02,0.01,Stand
33.63714814,0.8,9.6,-0.44,-0.01,-0.02,0,Stand
33.72744894,0.82,9.62,-0.43,-0.02,-0.02,0,Stand
33.83264613,0.85,9.6,-0.42,-0.02,-0.02,0.01,Stand
33.93797708,0.81,9.55,-0.4,-0.02,-0.02,0.01,Stand
34.04313588,0.9,9.62,-0.35,-0.02,-0.01,0.01,Stand
34.14779425,0.93,9.62,-0.39,-0.02,-0.02,0.01,Stand
34.25252819,0.84,9.66,-0.43,-0.02,-0.02,0,Stand
34.35755587,0.84,9.59,-0.4,-0.01,-0.01,0.01,Stand
34.4621408,0.84,9.63,-0.38,-0.02,-0.02,0.01,Stand
34.56685805,0.91,9.64,-0.41,-0.03,-0.02,0.01,Stand
34.67250705,0.81,9.6,-0.36,-0.03,-0.02,0,Stand
34.77852321,0.82,9.64,-0.4,-0.02,-0.02,0,Stand
34.913517,0.81,9.59,-0.41,-0.01,-0.02,0.01,Stand
34.98804498,0.8,9.6,-0.4,-0.02,-0.03,0.01,Stand
35.09370112,0.9,9.61,-0.38,-0.02,-0.03,0.01,Stand
35.19803309,0.84,9.61,-0.4,-0.02,-0.02,0.01,Stand
35.30305886,0.84,9.61,-0.44,-0.01,-0.02,0,Stand
35.40770102,0.83,9.61,-0.44,-0.01,-0.04,0.01,Stand
35.51209497,0.85,9.6,-0.41,0,-0.03,0.02,Stand
35.61828995,0.85,9.62,-0.49,0,-0.03,0.02,Stand
35.72266603,0.89,9.59,-0.51,-0.01,-0.02,0.02,Stand
35.82825017,0.87,9.57,-0.48,0.01,-0.02,0.02,Stand
35.93307114,0.89,9.61,-0.52,-0.01,-0.01,0.04,Stand
36.03774214,0.85,9.57,-0.59,-0.02,-0.01,0.04,Stand
36.143502,0.97,9.62,-0.54,-0.03,-0.02,0.02,Stand
36.247998,0.94,9.59,-0.55,-0.03,-0.02,0.01,Stand
36.35266399,0.95,9.56,-0.4,-0.01,-0.04,0.01,Stand
36.45818901,0.99,9.63,-0.51,0,-0.05,0.01,Stand
36.56241608,0.92,9.59,-0.58,-0.02,-0.05,0.03,Stand
36.66787982,1.22,9.67,-0.51,-0.01,-0.03,0.03,Stand
36.77202392,0.81,9.51,-0.61,0,-0.01,0.03,Stand
36.87765813,1.07,9.59,-0.6,0,-0.01,0.06,Stand
36.98273897,0.98,9.57,-0.78,-0.01,-0.03,0.04,Stand
37.08722806,1.06,9.55,-0.62,0.01,-0.04,0.04,Stand
37.19219923,1.16,9.52,-0.68,0.01,-0.05,0.04,Stand
37.29717708,1.12,9.56,-0.7,0.01,-0.01,0.04,Stand
37.40252113,1.19,9.56,-0.74,-0.03,0.02,0.05,Stand
37.50738811,1.27,9.6,-0.72,-0.04,0,0.03,Stand
37.61189508,1.21,9.54,-0.68,-0.03,0.01,0.04,Stand
37.71715307,1.3,9.54,-0.72,-0.04,0.02,0.03,Stand
37.82213306,1.19,9.52,-0.69,-0.05,0.03,0.03,Stand
37.92745996,1.29,9.57,-0.61,-0.07,0.02,0.02,Stand
38.0323782,1.42,9.59,-0.57,-0.07,0.01,0,Stand
38.13825107,1.26,9.52,-0.51,-0.07,0,0.01,Stand
38.24333787,1.29,9.5,-0.47,-0.06,0,0.01,Stand
38.34747481,1.5,9.69,-0.44,-0.05,-0.02,-0.01,Stand
38.45258689,1.46,9.62,-0.32,-0.06,-0.02,-0.03,Stand
38.55878711,1.27,9.57,-0.3,-0.06,-0.01,-0.02,Stand
38.66287112,1.18,9.53,-0.26,-0.06,-0.01,-0.01,Stand
38.76647282,1.2,9.55,-0.22,-0.04,-0.01,0.01,Stand
38.8725791,1.42,9.66,-0.19,-0.03,-0.03,0.02,Stand
38.97792101,1.3,9.66,-0.24,-0.02,-0.02,-0.01,Stand
39.08273292,1.27,9.58,-0.21,-0.03,-0.01,-0.01,Stand
39.187572,1.25,9.61,-0.21,-0.04,0,-0.01,Stand
39.29220986,1.24,9.59,-0.12,-0.04,0,-0.02,Stand
