Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
16.456045627593994,0.41,7.53,-1.0,0.39,-0.21,0.98
16.57137680053711,1.76,8.25,-1.64,-0.13,0.15,-0.65
16.696769952774048,3.27,11.38,0.3,-0.62,0.13,-1.94
16.80738878250122,2.08,11.31,-1.24,-0.97,-0.58,-2.48
16.875742435455322,-0.88,12.85,-2.37,-0.31,-1.75,-2.13
16.994224786758423,-0.84,9.09,-2.02,1.19,-1.03,-2.15
17.108414888381958,1.29,9.06,-2.81,1.64,-1.11,-1.12
17.230604648590088,-2.4,8.21,-3.89,1.26,0.09,0.07
17.35568928718567,-1.77,5.21,-2.66,0.03,-0.75,0.44
17.416070461273193,-0.3,0.34,-2.14,-1.27,0.3,0.39
17.53499937057495,-0.8,6.48,0.11,-1.0,0.98,1.3
17.651683568954468,-13.93,9.24,-5.79,-3.89,1.64,-1.56
17.767837047576904,-8.06,1.97,-0.43,-1.14,0.63,-0.2
17.836171627044678,-0.29,0.21,-0.96,0.53,-2.13,0.09
17.951849937438965,-19.61,19.46,-17.78,-0.34,3.83,-3.73
18.07552170753479,-3.96,11.39,-1.92,-0.98,-0.09,0.21
18.195625066757202,-0.85,2.69,-0.5,0.51,2.35,-0.15
18.31282663345337,-7.12,5.69,-1.34,-0.06,1.29,-0.65
18.37615656852722,-2.17,9.4,-0.64,0.08,-1.18,-0.18
18.495235443115234,-0.39,8.52,-2.95,-0.21,0.09,-0.2
18.61296319961548,0.97,12.33,-3.03,0.23,0.23,1.31
18.792775869369507,1.43,10.53,-3.32,0.77,0.75,2.18
18.792775869369507,-2.49,9.48,-2.92,0.4,2.37,1.75
18.916011571884155,-5.14,10.63,-2.93,0.11,-0.39,0.11
19.029430150985718,-0.1,7.73,-2.57,0.07,-1.81,-1.07
19.14740824699402,2.06,9.52,-3.27,0.08,-0.2,-1.29
19.215522289276123,0.55,11.98,-4.52,-0.18,-0.08,-0.74
19.335171461105347,0.39,9.7,-3.62,-0.36,-0.25,-0.1
19.50780487060547,-0.23,7.21,-2.43,0.21,-0.26,0.26
19.576635122299194,-1.53,9.59,-0.47,0.73,-0.67,0.21
19.63645839691162,-1.74,11.66,-1.33,-0.22,-0.58,0.27
19.749511241912842,-0.68,7.56,-3.52,-1.14,-0.32,0.49
19.87658143043518,-1.46,7.93,-5.14,-1.22,0.37,0.28
20.053962469100952,-2.36,9.99,-6.46,-0.06,0.43,-0.19
20.115654468536377,-2.82,9.34,-5.36,0.68,0.5,-0.55
20.175706386566162,-1.56,9.09,-1.66,1.02,0.59,-0.57
20.294378995895386,-0.74,10.4,1.56,0.92,0.59,-0.36
20.41638708114624,-0.71,12.23,1.8,0.3,-0.38,0.05
20.595693111419678,-1.06,10.78,-0.53,-0.72,-0.5,0.42
20.596691131591797,-1.88,8.86,-2.21,-1.32,-0.39,0.66
20.70626997947693,-2.41,7.9,-3.19,-1.47,0.17,0.35
20.832855701446533,-3.21,10.78,-4.69,-0.85,0.23,-0.12
20.948039531707764,-2.19,10.32,-5.07,0.91,-0.01,-0.55
21.01594090461731,-0.84,8.42,-3.72,2.07,-0.17,-0.41
21.134774684906006,4.04,11.82,0.85,1.88,0.31,0.42
21.256290197372437,-0.96,11.9,-0.3,-0.02,2.59,0.87
21.3751277923584,-3.96,9.48,-0.47,-1.78,-0.45,0.66
21.49583625793457,-5.53,10.68,-3.4,-2.32,2.12,-1.33
21.55511713027954,-2.47,9.69,-5.95,0.18,-1.77,-1.4
21.791259050369263,0.99,10.25,-4.38,1.84,-0.15,-1.48
21.791259050369263,1.9,11.68,-0.82,1.48,0.81,0.46
21.91592288017273,-0.13,11.6,0.98,0.01,-0.15,1.8
21.975938081741333,-5.92,9.31,-2.8,-1.47,0.67,0.7
22.09246301651001,-6.38,7.48,-6.25,-0.85,-0.16,-1.09
22.215151071548462,-2.04,8.22,-6.91,0.97,0.49,-2.03
