Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
MPY ESP32,19.027894973754883,1.25,9.63,-0.06,-0.03,-0.02,-0.01,Unmarked
MPY ESP32,19.132572174072266,1.24,9.58,-0.02,-0.02,-0.03,-0.01,Unmarked
MPY ESP32,19.238250017166138,1.19,9.56,-0.0,-0.01,-0.04,0.01,Unmarked
MPY ESP32,19.342610120773315,1.27,9.6,-0.08,-0.0,-0.02,0.01,Unmarked
MPY ESP32,19.44636583328247,1.21,9.63,-0.14,-0.03,-0.02,0.02,Unmarked
MPY ESP32,19.55260992050171,1.2,9.55,-0.05,-0.02,-0.03,0.0,Unmarked
MPY ESP32,19.657948970794678,1.22,9.59,-0.05,0.0,-0.04,0.0,Unmarked
MPY ESP32,19.762790203094482,1.19,9.55,-0.07,-0.01,-0.03,0.02,Unmarked
MPY ESP32,19.86818504333496,1.25,9.61,-0.1,-0.0,-0.02,0.02,Unmarked
MPY ESP32,19.973031044006348,1.11,9.51,-0.11,-0.0,-0.03,0.02,Unmarked
MPY ESP32,20.077438831329346,1.33,9.58,-0.06,-0.0,-0.02,0.03,Unmarked
MPY ESP32,20.18256402015686,1.26,9.6,-0.26,-0.02,-0.01,0.02,Unmarked
MPY ESP32,20.28769612312317,1.36,9.65,-0.13,-0.02,-0.01,0.01,Unmarked
MPY ESP32,20.391983032226562,1.25,9.58,-0.17,-0.03,-0.01,0.01,Unmarked
MPY ESP32,20.497397899627686,1.29,9.56,-0.11,-0.04,-0.03,0.01,Unmarked
MPY ESP32,20.602921962738037,1.27,9.56,-0.1,-0.02,-0.03,-0.01,Unmarked
MPY ESP32,20.7074978351593,1.14,9.52,-0.06,-0.02,-0.02,-0.01,Unmarked
MPY ESP32,20.842157125473022,1.24,9.55,-0.13,-0.03,-0.01,0.02,Unmarked
MPY ESP32,20.917189121246338,1.15,9.52,-0.11,-0.03,0.0,0.03,Unmarked
MPY ESP32,21.02287793159485,1.1,9.41,-0.07,-0.02,-0.03,0.05,Unmarked
MPY ESP32,21.127240896224976,1.5,9.61,-0.07,0.02,-0.04,0.02,Unmarked
MPY ESP32,21.231917142868042,1.3,9.57,-0.22,-0.01,-0.03,0.0,Unmarked
MPY ESP32,21.337843894958496,1.36,9.59,-0.16,-0.05,-0.0,0.02,Unmarked
MPY ESP32,21.442920923233032,1.44,9.61,-0.02,-0.03,-0.01,0.02,Unmarked
MPY ESP32,21.54786992073059,1.47,9.62,-0.06,-0.02,-0.01,0.04,Unmarked
MPY ESP32,21.65277099609375,1.41,9.57,-0.11,-0.01,-0.03,0.0,Unmarked
